22,0.198835,0.059326
22,0.183077,0.057701
17,0.004488,0.00172
25,1.204584,0.456089
11,0.000066,0.000029
21,0.073414,0.027987
4,0.000001,0.000001
26,3.31145,0.909908
19,0.018227,0.007257
25,1.314532,0.461837
3,0.000001,0.000001
14,0.000686,0.00022
4,0.000001,0.000001
26,3.260006,0.918815
22,0.184179,0.061815
12,0.000197,0.000057
27,5.341296,1.822943
9,0.000018,0.000009
25,1.2544,0.444186
4,0.000002,0.000002
21,0.073915,0.027487
16,0.002696,0.000862
25,1.297009,0.442155
25,1.292578,0.448056
26,3.111749,0.885343

